component,volume_m3,mass_kg
rails (×4),1.0800000000000005e-05,0.029160000000000012
decks (×2),5.000000000000001e-05,0.13500000000000004
struts (×4),3.685500000000002e-06,0.009950850000000004
total,6.246274999999997e-05,0.1686494249999999
